"CODGEO","P18_POP","P18_POP0014","P18_POP1529","P18_POP3044","P18_POP4559","P18_POP6074","P18_POP7589","P18_POP90P","P18_POPH"
"01224",3176,787.638953175432,503.404831685322,761.224963390669,560.311200368825,420.197709964499,129.998951651607,13.2233897636424,1558.47516272527
"01225",377.999999999999,55.4278961141586,52.784946226609,62.008159987049,98.8522206627626,81.3732382304134,25.447558169181,2.10598060982586,196.633932903933
"01227",642.999999999997,120.18691588785,80.1246105919,108.168224299065,151.235202492211,139.216510903426,37.0576323987538,7.01090342679125,320.4984423676
"01228",648,120.763636363636,101.127272727273,119.781818181818,156.109090909091,106.036363636364,42.2181818181818,1.96363636363636,324
"01229",1243,247,219,231,237,205,94,10,626
"01230",315,58,34,61,70,69,21,2,158
"01231",1949,361,269,349,415,398,141,16,975
"01232",2258,401.387318807359,303.69891562928,404.309451458597,484.477235024289,430.750326307621,208.145410538275,25.2313422345782,1128.09543137545
"01233",131,26,12,27,26,23,16,1,72
"01234",169.999999999999,16.094674556213,29.171597633136,28.1656804733727,41.2426035502957,38.2248520710058,16.094674556213,1.00591715976331,80.4733727810648
"01235",1139,276.276798411548,184.552482452748,233.791055278136,204.810971528673,140.070404789072,84.0422428734431,15.4560446663803,583.548394801957
"01236",1001,211.883283877349,141.585558852621,185.150346191889,223.764589515331,159.407517309594,73.2680514342235,5.9406528189911,504.955489614243
"01237",1647,349.082468690423,273.19109794631,300.758673426979,388.598979671956,254.949026817616,76.3853143362427,4.03443911047173,811.510095568871
"01238",2632,539.235821225274,380.874055496499,478.028512998815,642.190964090307,430.394246735259,151.560953703613,9.71544575023158,1313.55684751873
"01239",617.000000000001,114.316518187009,82.6995370505929,112.080022076846,126.582548569059,132.824728844155,44.3450981996358,4.15154707270286,301.862560896499
"01240",633.000000000001,127.075148048455,69.2282751335365,128.988904192069,168.609733589212,98.6661531854029,36.3646430522981,4.06714279902684,328.91861387634
"01241",1345,242.920219186522,159.658010287629,263.989186195946,300.617408930136,271.715246705465,94.2017955096569,11.898133184646,665.575904571376
"01242",135,27,28,27,25,22,5,1,74
"01243",1239,231.385474860335,177.988826815642,207.653631284916,309.502793296089,228.418994413408,79.1061452513966,4.94413407821229,615.050279329609
